run,arrival_rate,service_rate,queue_capacity,sim_time,blocking_probability,avg_num_in_system,avg_num_in_queue,avg_wait_time,avg_queue_time,server_utilization,prob_n_in_queue,queue_over_time
1,0.75,1.0,10,1000.0,0.0107095046854083,2.130445424860297,1.424279676707563,2.888379200457692,1.9313991395847163,0.7052943048633823,"{""0"": 0.5102052929017995, ""1"": 0.15789961245425072, ""2"": 0.10346570072335216, ""3"": 0.07829098713734138, ""4"": 0.05313825512999594, ""5"": 0.039779776638958, ""6"": 0.022120953177420574, ""7"": 0.016364634644769466, ""8"": 0.007734615984768198, ""9"": 0.006033003849686338, ""10"": 0.004967167357657786}","[[4.9328877533945885, 0], [20.01786506354346, 1], [40.60271294933837, 0], [61.42789854721265, 0], [80.05770948620398, 0], [103.44682608417827, 0], [121.15075433530062, 0], [141.444444373199, 0], [160.25290589966207, 1], [180.027500601807, 0], [200.71162445833312, 0], [220.32334487986182, 0], [240.49390640622823, 3], [260.122499063801, 0], [280.0591087809024, 6], [300.4509402787799, 1], [320.5149234132635, 8], [340.4815176816461, 4], [360.0694957019305, 1], [380.186831549348, 2], [401.878710834426, 6], [420.5257201803716, 3], [441.3820051126029, 0], [460.333296461708, 0], [480.28178415082346, 0], [501.4276901792202, 2], [520.142100525557, 3], [541.9051570624335, 0], [560.3110683549402, 3], [581.8794136087786, 0], [600.6069320950994, 0], [620.3358747361168, 0], [640.3378207475378, 1], [660.6553503532996, 0], [680.9475108137763, 0], [700.078937607858, 5], [720.817912197813, 0], [740.7601109956752, 1], [760.0281780750827, 3], [780.3308860965566, 0], [800.4979726753915, 0], [820.5061592558976, 4], [840.6866917700571, 2], [863.084284739786, 0], [880.5615396903238, 0], [900.4998912704197, 0], [920.2096646058695, 1], [940.6323497755006, 0], [960.9580471179667, 0], [980.4950131032906, 2], [1000.0, 2]]"
2,0.75,1.0,10,1000.0,0.008119079837618403,2.252593775716382,1.5218250714341226,3.073115655820443,2.0761597154626497,0.7307687042822613,"{""0"": 0.47277859812355283, ""1"": 0.15264759875463033, ""2"": 0.11951631274862026, ""3"": 0.08777947199830374, ""4"": 0.06882425832661988, ""5"": 0.04376616090571634, ""6"": 0.03209775162231531, ""7"": 0.0096173661346524, ""8"": 0.0076494907359166715, ""9"": 0.0016553117082351036, ""10"": 0.0036676789414370886}","[[2.609716208810165, 0], [20.71645909255697, 4], [42.07601198477023, 0], [60.56127956352977, 0], [80.54677859776983, 4], [100.19469122558182, 4], [120.04081178073618, 0], [140.95018641279387, 0], [160.0733317119775, 2], [180.2640127306578, 3], [200.02237230103827, 2], [220.50385729883513, 5], [240.0430363284494, 0], [261.2719661097647, 0], [281.21730701897343, 5], [300.4339386693646, 0], [320.97834902698645, 3], [340.0299956974401, 2], [360.5392018450047, 0], [380.12561347784094, 4], [400.72220677351254, 1], [420.01328189739843, 0], [440.9979145577145, 0], [460.01602237228104, 0], [481.66115947203747, 4], [500.93251714179723, 0], [521.8960750351404, 2], [540.2702164323817, 1], [560.0647289092046, 1], [580.1223192929452, 3], [600.5259066534412, 0], [621.2568056322201, 0], [643.5871556315932, 0], [660.2870700613997, 1], [680.8829746214132, 1], [704.4453055152704, 0], [721.2202441262774, 0], [740.6667664592671, 1], [760.005927008028, 7], [782.0380667230339, 0], [800.1221755659202, 1], [820.4174514294969, 1], [840.1731267507055, 0], [860.634615298489, 0], [880.2506353092604, 1], [900.150253678508, 1], [920.3918360174122, 1], [940.586359178352, 1], [961.4400727772191, 0], [980.3310164275945, 1], [1000.0, 0]]"
3,0.75,1.0,10,1000.0,0.016107382550335572,2.3586048202515215,1.608170608051541,3.2217311981377796,2.1962336573952004,0.7496387022828255,"{""0"": 0.45368632835658973, ""1"": 0.16497261205759856, ""2"": 0.12365044501065665, ""3"": 0.10081055109027943, ""4"": 0.06300235819095536, ""5"": 0.02674525433617439, ""6"": 0.020980155579925792, ""7"": 0.01764928349414535, ""8"": 0.008864524168922798, ""9"": 0.008997240180377048, ""10"": 0.010641247534374884}","[[0.9951938716181397, 0], [22.629163677177132, 0], [40.356266789070524, 0], [60.09595539555541, 5], [80.8212124242161, 0], [100.46381388890035, 1], [121.15861567507511, 1], [140.34917768710346, 0], [160.45361277796766, 0], [180.77608555529608, 0], [201.02720973289703, 0], [220.91344534333265, 3], [241.9187585989641, 0], [260.6110562731778, 1], [280.3530226571043, 5], [301.74756306088085, 0], [320.92912462459753, 1], [340.0917572807841, 3], [360.22047551816905, 0], [381.456567074162, 0], [400.10921371583, 5], [420.02096256091255, 0], [440.2328937543842, 1], [460.23378050059785, 4], [480.55701027398703, 0], [500.7961970745448, 3], [520.1290786728882, 1], [540.047076133405, 1], [560.4468459979098, 1], [581.034699373597, 9], [600.1138643464677, 0], [620.582441910897, 4], [641.0484115439604, 2], [662.0629505826731, 1], [682.6479337023632, 0], [701.8377538781243, 0], [722.1299764803338, 0], [740.0702986226696, 3], [760.0733710698651, 7], [780.5886877397555, 0], [802.2361436764062, 0], [820.3796549407432, 0], [840.5585888639384, 2], [860.7651168664571, 0], [880.2699244572965, 5], [900.7811072417675, 2], [923.6878834603532, 0], [940.5232460307269, 0], [960.1204260290806, 1], [980.936408523332, 0], [1000.0, 2]]"
4,0.75,1.0,10,1000.0,0.024096385542168676,2.97651764503862,2.228960985014599,4.089476691353294,3.0636264874250205,0.7457930982558544,"{""0"": 0.40996781436087704, ""1"": 0.12802169775711011, ""2"": 0.10378219126351015, ""3"": 0.08048054173542545, ""4"": 0.0732701514788433, ""5"": 0.0677417538067597, ""6"": 0.04301557510826342, ""7"": 0.033822514990659996, ""8"": 0.02776593946009825, ""9"": 0.018152867074492724, ""10"": 0.013978952963959897}","[[1.2085494696332542, 0], [20.27683039078568, 4], [42.11393196122028, 0], [60.29658532130608, 1], [80.10120886475163, 0], [100.52680267061575, 1], [120.01535815991934, 0], [140.20023654854387, 3], [160.21596222121252, 6], [180.1474792313065, 0], [200.1283645097926, 7], [220.2874714697237, 6], [240.28632462360875, 0], [260.8524859067132, 8], [280.5271546750805, 3], [300.46482316496895, 2], [320.09535333669254, 5], [340.31995531104303, 8], [363.45689237408635, 0], [380.22054214883326, 0], [401.20987055404305, 6], [421.04206497179644, 9], [441.38702030667764, 5], [461.3154045449149, 0], [480.64503589563907, 7], [502.66206813997354, 0], [520.2319722479624, 3], [541.6116383008158, 1], [560.6618992608261, 0], [580.1093874583934, 0], [603.1809619784293, 0], [620.072017146031, 1], [640.5156606317541, 2], [660.7199581901004, 3], [681.3607738562134, 7], [704.0196765339779, 0], [723.782403908525, 0], [740.3284197799625, 0], [761.2149426328589, 0], [780.1239170237244, 3], [800.0380534699624, 2], [823.270962903473, 0], [840.6087426058575, 0], [861.4797771388626, 0], [884.664037097337, 0], [900.0532376461196, 2], [920.3147225493851, 0], [941.474066997846, 3], [960.0370793828882, 0], [980.1260066996672, 5], [1000.0, 2]]"
5,0.75,1.0,10,1000.0,0.01174934725848564,2.5214905807326353,1.7929484097217907,3.3439731862960054,2.375910148593459,0.7279834043523149,"{""0"": 0.48011598811549766, ""1"": 0.13215914948773613, ""2"": 0.09396146783814814, ""3"": 0.08412186622229104, ""4"": 0.05571498846829453, ""5"": 0.047579961632672294, ""6"": 0.0448838339643544, ""7"": 0.02702442802528425, ""8"": 0.015922911339876607, ""9"": 0.011270375886232272, ""10"": 0.007245029019612673}","[[2.4218303364976808, 0], [20.092995214446304, 0], [40.040258579984474, 4], [60.713850859443724, 4], [81.40507267390869, 0], [100.34804137010447, 5], [120.08491699006359, 0], [140.63685850389754, 3], [160.35448189977222, 3], [180.0033669837123, 10], [201.04451277429308, 1], [220.665277206095, 0], [240.0908964497944, 0], [260.6497565764881, 0], [282.6381747468055, 0], [300.1523476578126, 5], [320.68809784461854, 0], [341.48972363860867, 0], [360.18923918901396, 0], [380.02795933534276, 1], [400.1601344528023, 1], [420.50185963927106, 0], [440.2401658265199, 1], [460.32089640832214, 6], [480.48871859263176, 9], [500.26334163276573, 5], [521.210471621945, 7], [541.3220150515073, 0], [560.0838238572362, 0], [581.4587932162522, 3], [600.0993831167551, 3], [620.4231581447823, 6], [640.3779395769411, 0], [660.2165563098943, 3], [680.467626800968, 0], [700.3380603706887, 0], [720.1338164829252, 1], [740.1668388697224, 3], [761.1499464012438, 0], [780.7533712174148, 0], [803.3513757204562, 0], [820.3145405405606, 0], [840.3212201630469, 0], [860.1341920528723, 0], [880.3133853169687, 0], [901.9422616402913, 3], [920.2088218137862, 3], [940.1278344812299, 3], [960.4433535515873, 0], [980.602194005713, 0], [1000.0, 5]]"
6,0.75,1.0,10,1000.0,0.006587615283267457,2.496615280887947,1.7653934539118141,3.311160849984019,2.3413706285302593,0.731221826976134,"{""0"": 0.473325046167855, ""1"": 0.1515971419734207, ""2"": 0.09864787420656662, ""3"": 0.06918065570488431, ""4"": 0.06055099333536504, ""5"": 0.04842485870358944, ""6"": 0.03441362370108077, ""7"": 0.023914567156616384, ""8"": 0.019844743309610464, ""9"": 0.009016286638595205, ""10"": 0.01108420910241614}","[[0.7155006740536038, 0], [20.162982472358486, 5], [43.07601434002126, 0], [60.594053613617696, 4], [80.55223184747038, 0], [100.97136236234371, 0], [120.03855339131314, 0], [140.1055757727779, 0], [160.09775267376605, 0], [180.0024710593544, 0], [200.51367761703412, 0], [220.25293451687753, 0], [240.35645512675828, 0], [260.4467935234493, 4], [280.00680710143456, 3], [301.1793673194371, 0], [320.9161946688175, 0], [340.33696720283643, 2], [360.36180580491174, 5], [380.3116702201823, 6], [400.6407296521251, 1], [420.4850214872621, 0], [440.0008139684943, 2], [461.10839503999716, 4], [480.18123895158294, 3], [500.0400605904625, 2], [521.894696121951, 0], [540.2253538032841, 2], [560.006901410555, 3], [580.2405099186717, 3], [600.1816929133364, 2], [620.8495692457373, 9], [640.2869139707228, 2], [661.2053800415894, 3], [680.1890649668125, 3], [702.337546185214, 3], [721.0175094790818, 1], [740.3168170844098, 4], [760.1874661242596, 0], [780.0687721081076, 0], [805.0121127523868, 0], [820.3231061038591, 1], [844.040397583415, 0], [860.6022361156924, 1], [881.5723401680402, 4], [900.1023713234498, 8], [920.2974883103984, 4], [940.0304735497592, 0], [960.4653896030078, 1], [981.5618914248491, 0], [1000.0, 0]]"
7,0.75,1.0,10,1000.0,0.02368421052631579,3.237436286793068,2.4527413038776014,4.362567247205193,3.3055812720722395,0.7842835935486508,"{""0"": 0.39138247132272375, ""1"": 0.1347287758856151, ""2"": 0.11130732625507546, ""3"": 0.08708860611009174, ""4"": 0.0629562372420989, ""5"": 0.03664705296336629, ""6"": 0.032876525976661825, ""7"": 0.035922607526208225, ""8"": 0.04465089279330287, ""9"": 0.031247746772076538, ""10"": 0.031191757152779304}","[[1.861208448669226, 0], [20.068773542173236, 1], [40.70030835700381, 0], [61.231417530352374, 0], [80.53178379009103, 0], [100.50074136932925, 3], [120.16676943614947, 4], [141.77152938529434, 2], [160.8553173430622, 0], [180.13606471231867, 1], [200.49965482600646, 0], [220.27111040313653, 8], [240.9420259865713, 3], [260.39472951460976, 0], [280.0983101284181, 2], [300.1006956513413, 0], [321.48114247503497, 5], [341.3006056347491, 1], [360.23877146110885, 4], [381.1386515641445, 7], [400.73661518333665, 8], [421.35750256880686, 10], [440.0440774022675, 8], [460.1134139830625, 2], [482.1859115077698, 1], [501.46491143449504, 0], [520.3993901866102, 4], [540.434975080148, 8], [560.1067651648284, 9], [580.284079880394, 2], [601.5770712387458, 0], [620.0780980615859, 2], [640.4339589786011, 0], [660.1687206343319, 0], [680.4660963142096, 7], [705.4232349948727, 0], [720.0848515183937, 2], [740.8145602630365, 3], [760.2661107347072, 0], [780.1773461482227, 0], [800.4107855152475, 0], [820.8156133032327, 0], [840.2370891655138, 3], [860.1823269203029, 9], [880.4845177280977, 5], [901.6918892902033, 0], [920.660415896585, 3], [940.0141557603292, 6], [960.1979998682091, 0], [980.2623500822923, 0], [1000.0, 0]]"
8,0.75,1.0,10,1000.0,0.011968085106382979,2.588529346448445,1.872622354602036,3.486716961072629,2.5231644889153717,0.7149559343406842,"{""0"": 0.46238513290888283, ""1"": 0.14179070056206897, ""2"": 0.0892024614539963, ""3"": 0.08444659598956616, ""4"": 0.06019761220123206, ""5"": 0.06084037534259661, ""6"": 0.037555850464181986, ""7"": 0.017173783508117723, ""8"": 0.0220527801651385, ""9"": 0.01142628505984601, ""10"": 0.012928422344372848}","[[1.8259662414834779, 0], [20.32109128447258, 1], [40.04389308927574, 0], [60.07014691363113, 0], [80.65987792844882, 4], [101.18215228914767, 1], [120.54387337697753, 0], [141.1022456433138, 0], [160.2847154607786, 0], [180.0607034290608, 5], [200.278726305369, 1], [220.96270169226318, 0], [240.25886593588646, 2], [260.66603957226465, 1], [280.6339602088924, 0], [300.0666778368678, 0], [320.6185855619298, 0], [340.3489504727637, 8], [360.8544236672573, 0], [380.80318850810335, 6], [401.6728593211693, 1], [421.0678235023986, 0], [447.91745562777226, 0], [460.99450896435064, 1], [480.072707240277, 0], [501.8684514844078, 0], [520.7314103400797, 4], [540.5155578479557, 1], [560.2840354100289, 6], [580.3000616832334, 6], [600.1173166845108, 1], [620.6407075860329, 1], [641.0042626532073, 1], [660.5715703124256, 6], [680.1729287892646, 6], [701.2140466125634, 10], [720.2919950072306, 0], [740.2731446336932, 5], [760.4089508767763, 0], [780.0088360836231, 1], [800.3403275627529, 3], [820.2485776807823, 5], [840.7252118892917, 1], [860.5110399711659, 0], [880.6251038482764, 3], [900.0562506378321, 0], [922.3102351162681, 0], [942.6938704102869, 0], [961.5494023957626, 0], [982.4655305968631, 3], [1000.0, 1]]"
9,0.75,1.0,10,1000.0,0.01335113484646195,2.5091476701845297,1.7438357784272325,3.395328376433734,2.3597236514576907,0.7653118917572964,"{""0"": 0.452026781474028, ""1"": 0.16043606805498703, ""2"": 0.10857852799011478, ""3"": 0.08906495223697208, ""4"": 0.06579072504737203, ""5"": 0.036198308116986135, ""6"": 0.02752347299190503, ""7"": 0.02256825532441425, ""8"": 0.016990977422748188, ""9"": 0.0123724011023578, ""10"": 0.008449530238114619}","[[0.3923161615371068, 0], [20.123981317709934, 6], [42.968625424164735, 0], [61.458879296264556, 1], [80.24608013858045, 0], [100.10837462711488, 0], [122.08187423940161, 3], [140.0476261604195, 1], [160.45678114444772, 1], [180.78857409346907, 0], [200.92822497891632, 1], [220.39219913659522, 0], [240.25641342655254, 0], [260.33152969275864, 0], [280.4331069049275, 0], [300.2270743737211, 0], [320.23927722567225, 2], [341.4243380326195, 0], [360.5656485686029, 0], [380.2444666732341, 4], [402.0411487016728, 3], [420.0544119864568, 2], [440.3865927089277, 3], [461.1759649645684, 0], [480.29029389142886, 5], [500.41856634927126, 9], [520.0417737502618, 0], [541.0367779358245, 0], [560.6228115820512, 0], [580.1582707428493, 0], [600.5807764392246, 1], [622.0080612116197, 0], [640.1081694611322, 10], [660.3039014652536, 0], [680.1864094902317, 1], [700.9135413338182, 0], [720.4502784227805, 0], [740.3761056256757, 3], [760.2063451698284, 9], [780.9720424938268, 1], [800.1830277273674, 6], [820.0914222826838, 0], [840.2112021475127, 4], [860.3848949733256, 4], [882.5621802784353, 0], [900.383208600999, 2], [920.0404517180573, 2], [940.8738108053648, 4], [960.8056249968381, 3], [980.0517619662909, 0], [1000.0, 0]]"
10,0.75,1.0,10,1000.0,0.012853470437017995,3.1534989774787365,2.3444759300152356,4.108297990101955,3.050361648249847,0.8082633651750103,"{""0"": 0.35738157197997966, ""1"": 0.14494797539699697, ""2"": 0.12695149666644456, ""3"": 0.10160074150928888, ""4"": 0.0753948948053137, ""5"": 0.048389773279331784, ""6"": 0.03925062579524192, ""7"": 0.03992948025570804, ""8"": 0.029847132116731855, ""9"": 0.01955596430531962, ""10"": 0.016750343889643034}","[[0.6009535612524802, 0], [20.768480353774063, 2], [40.09187982247086, 0], [60.4090361982963, 4], [80.55332312013215, 0], [101.23706771859517, 0], [120.76406423575163, 10], [141.04623740246916, 2], [160.8639022531123, 6], [180.6372496428001, 0], [200.03138265007402, 3], [220.36790523402897, 0], [240.4925070388507, 0], [261.2548732740652, 0], [280.259122707169, 6], [300.1102192606304, 0], [320.89535215649937, 0], [341.40645242906174, 1], [360.08874951947087, 10], [380.45500489731705, 10], [400.60357256520524, 5], [421.47137674888955, 2], [440.1874015257246, 3], [460.5200931666453, 0], [480.55893643822037, 1], [500.25891307642064, 0], [520.2996725146481, 0], [540.2589612386887, 1], [560.6561193939502, 3], [580.5619055127768, 1], [600.2891700599295, 3], [620.0147217511968, 0], [640.2681279628792, 0], [660.4130124705063, 0], [680.5794442528967, 2], [700.7642471654168, 3], [720.8387857087794, 6], [740.329379744221, 3], [760.3497896062241, 0], [780.0972065813522, 6], [800.3565803072324, 6], [820.2847658763235, 7], [840.4882600319589, 6], [860.7644328983176, 2], [882.2771842519162, 0], [900.351831068616, 1], [920.2901210334101, 1], [940.4184303464847, 0], [962.9260396427329, 0], [980.2295306776213, 0], [1000.0, 4]]"
